Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Business,0.7127 ha,,,Feb-07,2006/2007,0
KIL 11175,"J/O Fat Kwong Street and Chung Hau Streeet, Homantin (Ex-Valley Road Estate Ph 2)",Residential R1,1.6291 ha,,,Mar-07,2006/2007,0
TCTL 22,"Tung Chung Area 56, Lantau Island",Residential R2,3.3337 ha,,,Mar-07,2006/2007,0
NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Commercial,0.6623 ha,,,Mar-07,2006/2007,0
NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2007/2008,1
NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.3528 ha,,,Now,2007/2008,1
RBL 1165,"Near 110, Repulse Bay Road",Residential R3,0.4250 ha,,,Now,2007/2008,1
RBL 1168,Near 35 South Bay Road,Residential R3,0.1460 ha,,,Now,2007/2008,1
TPTL 166,"Po Heung Street, Tai Po",Residential / Commercial (Including Public Car Park),0.3325 ha,,,Now,2007/2008,1
KIL 11146,"Hoi Fai Road, West Kowloon Reclamation Site B1",Residential R1,1.1353 ha,,,Now,2007/2008,1
IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0573 ha,,,Now,2007/2008,1
TMTL 422,"Area 58, Tuen Mun (Ex-Pearl Island Quarters)",Residential R3,1.5030 ha,,,Now,2007/2008,1
Lot 1848 DD Cheung Chau,"Sai Wan, Shui Hang, Cheung Chau",Residential R4,1.0382 ha,,,Now,2007/2008,1
Lot 2129 DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2007/2008,1
KIL 11073,"J/O Hoi Wang Road, Yan Cheung Road and Yau Cheung Road, West Kowloon Reclamation",Residential R1,0.8060 ha,,,Now,2007/2008,1
IL 8949,"21, 23 And 25 Borrett Road, Mid-Levels West",Residential R2,1.0488 ha,,,Now,2007/2008,1
IL 9007,103 Mt. Nicholson Road,Residential R3,2.3312 ha,,,Now,2007/2008,1
AIL 451,"Welfare Road, Aberdeen",Residential R1,0.6403 ha,,,Now,2007/2008,1
TMTL 449,"Tsing Fat Street, Tuen Mun",Residential R3,1.7042 ha,,,Now,2007/2008,1
KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Homantin, Kowloon",Residential R1,0.1902 ha,,,Now,2007/2008,1
NKIL 6309,"Ex-Wong Tai Sin Police Quarters, 3 Chun Yan Street",Residential R1,0.9502 ha,,,Now,2007/2008,1
FSSTL 225,"89-95 San Fung Avenue, Shek Wu Hui, Sheung Shui",Residential/Commercial,0.0306 ha,,,Now,2007/2008,1
Lot 676 DD Peng Chau,Peng Chau,Residential R3,0.4565 ha,,,Now,2007/2008,1
Lot 245 DD 331,"Cheung Sha, Lantau Island",Residential R4,1.6587 ha,,,Now,2007/2008,1
KIL 11175,"J/O Fat Kwong Street and Chung Hau Street, Homantin (Ex-Valley Road Estate Ph 2)",Residential R1,1.6151 ha,,,Now,2007/2008,1
TCTL 22,"Tung Chung Area 56, Lantau Island",Residential R2,3.2900 ha,,,Now,2007/2008,1
TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,,,Now,2007/2008,1
NKIL 6311,"J/o Sheung Yuet Road, Wang Tai Road & Wang Yuen Street",Business,0.2579 ha,,,Now,2007/2008,1
NKIL 6313,"Cheung Yip Street, Kowloon",Business,0.3795 ha,,,Now,2007/2008,1
IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4153 ha,,,Now,2007/2008,1
Lot 1950 DD 221,"Sai Kung Town, Area 4",Commercial,1.7940 ha,,,Now,2007/2008,1
STTL 433,"On Yiu Street/On Kwan Street/On Lai Street, Shek Mun, Sha Tin",Business,0.8533 ha,,,Now,2007/2008,1
NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial,0.4878 ha,,,Now,2007/2008,1
STTL 463,"On Yiu Street/On Kwan Street, Shek Mun, Sha Tin",Business,0.7997 ha,,,Now,2007/2008,1
Lot 1176 in D.D. 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,Now,2007/2008,1
NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Business,0.7083 ha,,,Now,2007/2008,1
NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Commercial,0.6600 ha,,,Now,2007/2008,1
IL 8914,Ex-Hollywood Road Police Quarters,Residential R1,0.5818 ha,,,Dec-07,2007/2008,1
CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.2080 ha,,,Jan-08,2007/2008,1
TWTL 393,"Yeung Uk Road, Tsuen Wan",Commercial,1.4160 ha,,,Feb-08,2007/2008,1
IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Residential / Commercial,1.1700 ha,,,Feb-08,2007/2008,1
FSSTL 202,"Area 21, Fan Leng Lau Road",Residential R1,0.2560 ha,,,Apr-07,2007/2008,0
Lot 734 DD 4,"Mui Wo, Lantau",Residential R4,0.2419 ha,,,May-07,2007/2008,0
TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,May-07,2007/2008,0
TPTL 186,"Pak Shek Kok Development Area, Phase 1, Site B",Residential R2,2.2140 ha,,,Oct-07,2007/2008,0
